text,category
 We have stayed here a few times and always enjoyed the fab rooms There are renovations going on that have just made the place extra special Our room 065 was just gorgeous ,Positive
 The location is beautiful I m sure after the renovations this will be a lovely hotel ,Positive
 Beautiful room that was ready early with the most comfortable massive bed Backs straight onto the park can t wait to come back when all of the construction is complete We didn t hear anything building work related whilst staying Loved the atmosphere and feeling of all the areas of the hotel Especially the hall to our room ,Positive
 We like the building although still under construction it has a nice atmosphere Of course location is perfect near the city centre and the parc ,Positive
 The room was lovely great hotel beautiful location ,Positive
 The restaurant opened 2 days before however the food was good especially the burger Good breakfast with fresh orange juice WIFI in all hotel,Positive
 Beautiful restaurant with great food and a lovely park to look over quirky and grand in design with relaxing rooms Staff a very helpful and chatty It s a unique place once completed its going to be a fabulous venue we are keen to return in the summer,Positive
 The bed was really comfortable and loved the style of the hotel room bed upstairs bathroom modern and lots of glass and gloss The food was absolutely gorgeous ,Positive
 Pretty building interesting rooms ,Positive
 Room changed quickly when we had to complain about the cold and strong smell of new paint Free drink card to make up for renovations inconveniences ,Positive
 rooms were large and modern and hotel was not a normal chain A lot more interesting and quirky,Positive
 Large bed ,Positive
 It s a beautiful hotel or should I say will be when the renovation is finished ,Positive
 Good location Cheap ,Positive
 Anyways the staff was extremely friendly no complants there Location of the hotel is about 1km from the nearest metro station The rooms were tidy and the beds were good to sleep in However there where several small faulty details unfinished renovation in the room like lamp on the floor nails sticking out of floor which rips your sock etc so nothing major but adding them all together it makes this as a three star hotel in my opinnion ,Positive
 Beautifull buiding next to Oosterpark Friendly staff Great breakfast ,Positive
 Great room very comfortable bed Nice and quiet Fantastic decor and amazing staircases The location is great if you want to avoid the hectic nature of the city centre and red light district but can be walked in around half an hour The immediate area is fantastic great Park amazing local restaurants frequented by locals etc one of which has the largest selection of beer available Near by brewery that do tours not Heineken and great beer Good museum near by and even a local coffeeshop that we better value than those in the center ,Positive
 We upgraded to a larger room Had the bath infront of the bed which allowed us to relax before having the best nights sleep I ve probably ever had due to the comfort of the beds ,Positive
 A very quirky hotel that managed to keep its identy despite moderisation situated in a lovely location Bed was extrememly comfortable and cleanliness of hotel was outstanding ,Positive
No Positive,Positive
 beautiful surroundings great location Old world style of the hotel is really different,Positive
 Location,Positive
 Location was ok and has access to all the public transport a very pleasant park is situated next good for a jogger or just a stroll ,Positive
 The bed was amazing Actually our whole room large room The park burger at the restaurant downstairs was also heaven ,Positive
 super comfy beds cozy rooms lovely staff pretty sweet location I love amsterdam ,Positive
 Staff were brilliant Really helpful attentive and friendly Amazing building with lots of history too ,Positive
 Great Customer Service Staff very responsive to our individual needs also helpful in giving directions getting tickets and Metro passes ,Positive
 The rooms were comfortable and clean and the bed accommodated sleep well Restaurant and bar staff were very helpful and friendly The breakfast was quite good where there was a variety of selections available to choose from ,Positive
 Good water pressure in shower,Positive
 The hotel is located in a very nice area of Amsterdam There are museums parks shops and restaurants around as well as many tram stops that can take you everywhere in the city Staff were very kind ,Positive
 We upgraded our room had a huge room with a large bath tub ,Positive
 Vibe is good location good and historic building is will be beautiful,Positive
 Generally clean and interestingly designed But a little worn Meanwhile there is massive renovation underway which will probably make it a much nicer hotel but in the meantime you will walk up a wooden ramp to reception and many amenities are in process The reason to stay here is that it s cheaper than other similar properties possibly because it s in renovation and also because it is off the beaten path though not in a bad neighborhood just not close to the hot spots ,Positive
 Architecturally the building is terrific you can feel the history of the place which just isn t there with purpose built chain hotels The Arena has the look and feel of a boutique hotel lushly decorated wrought iron work on staircases chandeliers the up lighting and high windows and ceilings gives a great sense of space Location is fab in the green space of Oosterpark but only a ten min walk to the City Halls The rooms are quirky with a small footprint THe ground level has a closet small sofa WC and shower fridge table and chair with the huge bed on a mezzanine level There s a tv on each level ,Positive
 Breakfast was very nice and the staff were so helpful especially with giving us advice on transport around the city Also the bed was comfortable so we slept so well each night ,Positive
 This hotel was great value for money Only a few tram stops away from the city centre It was close enough for all the attractions of Amsterdam but far enough away that it was a quiet neighbourhood The zoo is literally a 10 minute walk away or one tram stop Very accessible The room was extremely nice and the bed was outstandingly comfy best nights sleep I ve ever had I would highly recommend this hotel ,Positive
 Very friendly staff lovely comfy room,Positive
 food recommendations were brilliant,Positive
 The inside of the hotel is very classy He staff are friendly and helpful Our room was great Huge bathroom with double sinks and showers small sitting room with a kettle and fridge beautiful bedroom with a big comfortable bed The hotel is a nice area There is a big park next door and it is only a 20 minute walk to the Heineken Experience ,Positive
 Bed was really comfy and we had a canal view which was nice to wake up to The hotel was warm and beautifully decorated We were given a free drink voucher to compensate for construction which was really nice,Positive
 The location of this hotel is great It s very close to the tram lines and subway The staff was very helpful in getting us a room that was to our liking The breakfast buffet was fine ,Positive
 Breakfast was plentiful although often cold when meant to be hot bacon sausage etc Next to park which makes for a pleasant evening walk and tram services nearby Staff very friendly willing to help ,Positive
No Positive,Positive
 Well located if you don t mind taking the train ,Positive
 this beautiful building has huge potential but you get the feeling that while the extention work is going on the hotel is less of a priority It is starting to look frayed at the edges But there is a good and funky atmosphere and the breakfast was very good The location was also perfect for us as we were visiting relatives nearby and it is also a quite airy part of amsterdam ,Positive
 Liked the staff The location,Positive
 Special ambience of old convent and medical institution converted into a modern style hotel Relaxed atmosphere Nice restaurant and bar area with terasse Good accessibility of public transport ,Positive
 Room was a great size and comfy bed,Positive
 The staff were lovely and very helpful Bar and restaurant very good not far from all attractions very good tram links ,Positive
 There was a lot of variety at breakfast and the fresh baked croissants were excellent The snacks in the restaurant were also very good The staff at the front desk was cheerful and helpful The bed was comfy ,Positive
 Bed was comfy with duck feather duvet and pillows We stayed in a deluxe split room and it was very nice Reception staff bar staff was friendly and helpful ,Positive
 Very helpful and friendly staff Free WiFi Location and proximity to public transport Provision of iron and board 2 televisions,Positive
 The hotel has its own character and a long history Very cool vibe We got a round of free drinks as consolation to the construction work outside ,Positive
 Good breakfast nice beds nice to live at a hotel with history ,Positive
 Comfy beds we upgraded to a suite which was very spacious with a bath staff lovely all speak English restaurant food exceptional and great choice at breakfast Tram stops right outside and next to a lovely park,Positive
No Positive,Positive
 The friendly staff in bar restaurant The evening meal was excellent A pity the club sandwiches at lunch were awful After the building renovations I think this hotel will be fabulous It has so much history and is so unusual Loved it ,Positive
 The staff were very friendly and helpful and our room was amazing the bed was really big and so comfy ,Positive
 Great room great staff great food ,Positive
 Food in restaurant Quirky place use to be a hospital Reasonably convienent for transport into city centre Beautiful park beside hotel Walk through to other side for some nice cafe basrs for breakfast ,Positive
 Beds were comfy the bar staff and reception staff were very helpful when we asked to move rooms,Positive
 Beautiful gothic hotel Very good location Some nice bars and restaurants Fabulous Thai restaurant 5 minutes away 3 metro stops from Dam centre Really enjoyed staying there There was building work ongoing but you would never have know ,Positive
 The whole experience was amazing there were construction works going on but the staff made sure it didn t impact your time there at all very friendly and very helpful,Positive
 Room was lovely we got a free upgrade Bathroom fab Excellent breakfast Nice sitting out area for those who wished to smoke Reception and dining bar staff exceptionally nice ,Positive
 Quiet location and thankfully the construction to the exterior of the hotel did not impact our stay ,Positive
 Very comfortable bed and cool hotel,Positive
 Hotel was very clean and staff helpful Very trendy and reasonably priced,Positive
No Positive,Positive
 The bed was huge and comfortable Massively high ceilings and the feature staircase ,Positive
 Staff were very friendly helpful The kitchen provided us a great meal the bar staff were nice and the breakfast bar was very impressive ,Positive
 The style of the room was unique and amazing with a light room laminate floors and a stunning black bathroom Our kingsize was very comfy and spacious The hotel itself is very beautiful and they have kept the original staircases and high ceilings All of the staff spoke English perfectly just like most people in the city and I couldn t fault them on anything they were always willing to answer our questions and even gave us a map and told us where we could find some interesting places Hotel Arena s location is pretty perfect as it is less than a 10 minute walk from a tram stop to Centraal Dam Square Rembrandtplein and any other places you might be interested in exploring It s also right next to Oosterpark so I can imagine how nice it would be to go to in the spring and upcoming summer Really loved this place overall and a great hotel to stay at especially if it is your first time in Amsterdam as it was mine ,Positive
 Location was great for us as was close to my sister there was always someone on the desk the bars were lovely the building was impressive but building work going on which we didn t know about but I m sure it will look amazing Really funky room ,Positive
 The bed was super cosy The staff was nice The hotel isn t central but if you get bikes it s very close and easy to cycle ,Positive
 Staff were fantastic and changed our overall view of the hotel Got off to a bad start room 240 was tiny and they changed us No argument Bar staff and reception staff really friendly and pleasant ,Positive
 Cool hotel great receptionist who gave us ideas of what to do in Amsterdam delicious supper at the hotel And great shower ,Positive
 Bar and restraint staff were great reception was a bit lacklustre Also th bathroom walls are completely see through Wouldn t advise number 2 s if you are sharing a room ,Positive
 The staff was very nice and friendly the size of the room was really great and the style of the hotel is also very nice The bed was quite confortable ,Positive
 Average good accommodation Big room Helpful staff Room cleaned daily Big hot shower Comfy bed ,Positive
 The only good thing about this hotel is the friendly staff and the way it looks Considering they have work going on Location is great 5mins walk to tram stop n your in damn square in 10mins Also we bought 3 day travel ticket from the train station for 25 euros n the hotel sell this for 17 50 euros so buy from hotel it s cheaper Trains are not included in the hotel travel card but u won t need trains if your staying in dam Only to and from airport ,Positive
 The place looked amazing and it was close enough to everything that walking was not a hassle,Positive
 Bed was nice ,Positive
 Really nice building but lots of building work going off But only outside so not a problem Good size rooms fairly modern Good location away from the center but easy to get to by tram WiFi worked perfectly and quickly ,Positive
 Loved the decor in the hotel and the staff where very helpful and friendly,Positive
 24 reception Changed rooms immediately after complaint,Positive
 The staff were very friendly and helpful Rooms s good size Nice bathrooms Bar area very comfortable Complimentary drink a nice touch A little walk from centre but gave us a chance to look around Plans for development look amazing Would like come back when completed ,Positive
 Cool hotel nice feel really comfy beds staff couldn t do enough for you,Positive
 The room was exactly as expected The bed was the most comfortable bed that we have ever slept on the shower was HUGE Easy check in and check out only a 5 minute walk to the grocery store staff were very friendly and public transport is only minutes walk from the hotel room or if you like walking everything you need to see is only a 30 45min walk ,Positive
 Great hotel and quiet university area Wonderful comfy beds in clean well equipped rooms The food is wonderful ,Positive
 The bed and size space in room was amazing very comfortable stay Very happy with our room for the money that we paid ,Positive
 The staff were exceptionally friendly and attentive The room itself was amazing and the bed itself was so comfy we struggled getting up of a morning I would recommend this hotel to anyone ,Positive
No Positive,Positive
 Our room was very uniquely arranged with an impressive double headed shower and massive windows Very memorable The hotel is right next to a large nice park Staff was friendly ,Positive
 The rooms were gorgeous bathroom to die for we upgraded to a suite with bath the hotel interior very nice lovely atmosphere Due to building work In progress we were given a voucher for a free drink at the bar nice gesture ,Positive
No Positive,Positive
 The decor the atmosphere the welcoming staff the room was incredible,Positive
 The hotel is amazing Beautiful interior We weren t disrupted by the work going on as the place is sound proof Our room was fantastic the only thing I should have done was ask for a fan at reception because the room temperature was too hot and the air con wouldn t go below 21oc The room layout with the bedroom upstairs was lush ,Positive
 Room service good quality staff,Positive
 We loved the setup of our room we liked the separation of the bed from the rest of the room the meals were fantastic too very filling ,Positive
 Hotel was very modern and location was great Complimentary drinks was a really nice touch ,Positive
 Stayed in this hotel for 4 nights with my boyfriend The hotel was perfect A short distance to the square with the tram located near the hotel Perfect loctation lovely park beside the hotel with cafes nearby Staff were very helpful and the hotel in general is fabulous very modern and the bedroom was just great the layout was fantastic with cute steps up to the bed which was super comfy We really enjoyed our stay ,Positive
 Staff were helpful and friendly from start to finish ,Positive
 absolutely stunning hotel lovely food and selection of drinks and a really good location,Positive
 The bedrooms were pleasnt the bed was really comfy It was nice the shower was clean I enjoyed my room Wasn t allowed to check in till 3 but managed to get us a room by 2ish which was good ,Positive
 The room was pleasant We liked the big bathroom and the bed was large and extremely comfortable The mini fridge safe tv s with English channels and the ability to make drink were pluses,Positive
 Nice comfy and cosy rooms with very big windows so there is plenty of light A lot of trams in the vicinity so it is easy to the city centre or any attraction ,Positive
 The room is beautiful and comfortable the shower is one of the best I ve ever seen The staff is very kind I would very much recommend this hotel if you don t mind travel 20 min to the center ,Positive
 The room we upgraded to was very nice ,Positive
 Location was close enough to anything we needed hotel was big clean spacious rooms and nice bar with friendly staff at a very good price would happily stay again,Positive
 Polite staff ,Positive
 The staff we encountered were absolutely delightful and very helpful The rooms were clean stylish and comfortable The hotel was conveniently located within walking distance of the centre of Amsterdam ,Positive
 nothing,Positive
 Staff was vey pleasant The place is very well designed,Positive
 Location is good it takes 20 mins by feet and 10 15 mins by tram to get to the city center ,Positive
 The room was stunning Did not expect the quality standard received after having to walk past a building site and enter through a dodgy back door Will definitely recommend ,Positive
 Very smart room good food ,Positive
 Breakfast Staff,Positive
 staff helpful but maybe because of building upheaval hotel history and architecture a real treat would stay again try another room and see the hotel when fully refurbished possibly have a discount due to the visit being in middle of a bulding site and not as expected when booked ,Positive
 The hall,Positive
 Nice staff good rooms with separate little living room and bedroom did not experience any problems with the reconstruction ,Positive
 Staff were really friendly 24hour front desk beautiful hotel the room I stayed in double deluxe was amazing lots of restaurants nearby for good food And easy trams into central 10 mins I highly recommend ,Positive
 Very beautiful building cozy room cool bar ,Positive
 Staff were very friendly on arrival we were upgraded on arrival fantastic room with lovely no fern decor there was works going on outside the hotel but we never heard a thing and it didn t make a difference would definable return to the hotel arena,Positive
 Close to Tram Excellent room nice staff ,Positive
No Positive,Positive
 Good Wi fi ,Positive
 Good location next to the tram but is under going a major revamp No noise problem but the lovely garden is gone Sill good value for money This is a big place lovely old building ,Positive
 The best thing at this price excellent price in relation to the modern and spacious room received ,Positive
 Character of the hotel was great Location was good,Positive
 Hotel and rooms were beautiful My friend and I wanted some luxury on our trip to Amsterdam and this hotel provided just that The staff were extremely friendly and gave us lots of advice on where to go local life etc You will need to get trams metro from this hotel which all added to the experience of our trip Would definitely recommend this hotel ,Positive
 The staff were extremely polite and helpful i honestly couldn t fault them The room itself was clean and comfortable and the location was great ,Positive
No Positive,Positive
 friendly staff place is very clean and charming beautiful restaurant and bar food looked I didn t try it way better than the usual Amsterdam culinary sins,Positive
 This was our first time in Amsterdam and the staff were incredibly helpful They took special notice of the fact that is was my birthday and were so friendly ,Positive
 Great location lovely room,Positive
 Very nice property stylish hotel friendly staff spacious rooms except the one with stairs and close to the city center just a couple of stops by tram ,Positive
 Boutique atmosphere good size rooms with comfortable beds and stylishly designed bathrooms ,Positive
 It was a well kept hotel in a lovely area The staff and services offered were excellent We felt it was a great value Our beautiful room with a view was a bonus ,Positive
 The hotel is beautiful the pictures here arent doing it justice at all right on Oosterpark which is awesome The location is great walking distance to the tram public transport to anywhere and 5 10 mins to POI convenience shops and small local bars on the quieter part of the city You can also get to the city center by walking but it will take about 20 30mins Very clean room made and towels changed everyday Almost perfect ,Positive
 Crews being nice and helpful Environment quiet and peaceful but unfortunately certain areas under construction ,Positive
 The bathroom and sofa are so good The building style is really awesome ,Positive
 We liked the location and the extra pleasant staff They were very accommodating to our requests e g extra towels and specialty pillows ,Positive
 I loved the hotel design and decoration Staff were extremely nice always helpful and smiling That is something you really appreciate when you are on a 24 hour business trip Breakfast was way better than I expected although coffee was quite bad That is something most hotels fail to nail and I think most guests find it important Rooms are fantastically cozy clean and comfortable ,Positive
 The bed was comfy and large The wifi was fast and good Separate living area Powerful shower,Positive
 Got in late and hadn t eaten 24 hour pizza delivery offered at front desk brilliant at 12pm friendly staff and wifi in room hotel is 15 mins walk from dam square nice to be away from the hussle and bussle in town ,Positive
 We stayed at the hotel for 5 nights Hotel is a bit far from the center but with the tram and metro you arrive at the center in minutes Hotel is situated in a quite area The rooms are very spacious comfortable and cosy The staff is very nice and helpful,Positive
 Really enjoyed our stay at hotel arena staff were fab made us feel really welcome even made us a coffee at 6am whilst waiting fir our taxi to the airport,Positive
 The matress and pillows were exceptionally good Best sleep in terms of comfort ever I would be grateful to know your suppliers as would like to replicate this comfort in my own home ,Positive
 Although the hotel is a little from the main centre the hotel itself was outstanding The hotel is currently under construction and expanding its capacity and restaurant bar space I was shocked when we arrived to see a construction site but you couldn t hear any building work from the room and the hotel was impeccable inside Fantastic value for money but I assume once the construction has been completed the hotel will be one of the top places to stay in Amsterdam The bar and restaurant is an added bonus to the hotel and the staff were pleasant and polite The hotel is spectacular and the rooms are modern and very comfortable the previous reviews regarding the bathroom walls are true but we didn t find that an issue I would certainly recommend this hotel to anyone especially for the location as many trams lead to the centre of Amsterdam in only 7 10 minutes ,Positive
 Great bed bathroom beer garden decor staff and food ,Positive
 This is a fantastic place to stay and felt like true luxury despite the amazingly cheap price that we paid for our stay There is work going on at the moment but we were given free drinks which were delicious and would both love to return to see the hotel when all the work is finished as it is such a fantastic place to stay that is steeped with history Also the shower was incredible ,Positive
 We loved our stay at hotel arena The hotel was great Staff was really kind especially for Job the guy encharged of the restaurant and Sander the guy who recieved us in the front desk Talking to them it came up in the conversation that my boyfriend and I got engaged the day before arriving to the hotel That night when we got to our room there was a great bottle of champagne and a beautiful congratulations card waiting for us un our room It was a very classy detail We were so thankful about it Also beds and pillows were great the breakfast boufett awesome and i woukd also recommend to have at least one dinner at the hotels restaurant Food is great Thank u for everything hotel arenaaa ,Positive
 Everything The friendly staff super comfortable bed we did not want to get out of bed in the morning it was so comfortable the artsy decor of the hotel chic bar It was truly pleasant to stay in Hotel Arena,Positive
 Amazing rooms with beautiful view of river Food was delicious particularly the veal croqettes and the salmon Staff are helpful and friendly ,Positive
 staff good location suited us,Positive
 Great historic buildig,Positive
 The hotel was great The rooms were gorgeous and the staff really friendly Our room was beautifully decorated very modern sleek design with a mezzanine and spotlessly clean Drinks in the bar were good and not overly expensive The hotel was perfectly located in a lovely part of town within easy reach of town using ansterdams great public transport or the hotels rental bikes ,Positive
 How different it was from other hotels the staff the bar area and the location was good for tram access,Positive
 This is an older building with a wonderful refurbishment Our bedroom and bathroom were state of the art and perfect The dining experience was also excellent We had a problem with one meal but it was fixed immediately Will go back ,Positive
 Was convenient because our friends live close by Furhthermore I liked the possibility of renting a bike on short notice And the interior was spectacular liked the modern twist ,Positive
 The terrace lounge The building The location ,Positive
 The staff were very friendly and very helpful ,Positive
 Very comfortable big bed Free wi fi Lovely building and interior,Positive
 A great place that is stylishly decorated The beds are really comfortable and the shower is fantastic The room we had also featured a lovely little loft with two chairs a desk and a TV the extra space made the place a lot nicer than your standard hotel room ,Positive
 I loved the room There was so much space spanning two floors The staff were super friendly and gave us great advice on locations to visit during our stay in Amsterdam ,Positive
 Friendly staff nice rooms comfy bed though pillows aren t as comfy as they look There are two trams that leave from close to the hotel and one goes directly to Central and both go to the main tourist hub Oosterpark right on your door step,Positive
 location outside terras,Positive
 Great restaurant bar very green area you dine literally in the park great place for morning run,Positive
 Nice property and building ,Positive
No Positive,Positive
 Outside areas staff deco and art,Positive
 Bed was very comfy Close to tram stops,Positive
 Breakfast was very good but it wasn t included in the price of the room Right by the Ostpark which is very pleasant,Positive
 Super stylish hotel next to a lovely park Close enough to the city centre but far enough if you get me ,Positive
 Breakfast is amazing Very kind staff,Positive
 Decor service fresh herb garden ,Positive
 Bed was really comfy easy to access tourism areas using public transport but quiet area ,Positive
 Standard room is amazing location is adorable Everything was stunning from A to Z from indoors design to really good noise isolation ,Positive
 Impressive venue,Positive
 Beautiful hotel Nice room and excelelnt facilities for breakbast and dining ,Positive
 Beautiful location next to park,Positive
 Excellent Breakfasts,Positive
 Outside of the hotel was beutiful and the surrounding areas,Positive
 Staff were very friendly Hotel decoration impressive ,Positive
 Good service Great restaurant Great surroundings ,Positive
 Room was spacious enough Bed was very comfortable Park was amazing,Positive
 The bed was very comfortable and the room was very clean,Positive
 Room was awesome,Positive
 nothing,Positive
 Bed was really comfortable ,Positive
 everything ,Positive
 Amazing view to the park not so busy area Nice rooms,Positive
 fantastic building and interior design Added bonus of park setting ,Positive
 Location was superb overlooking oosterpark nice and quiet away from the city centre tram stops very close by and metro not far away ,Positive
 location rooms staff,Positive
 Room was as shown on the pictures cozy posh and really stylish Staff was trully polite and helpful ,Positive
 Excellent room and interesting hotel Great location out of the centre but easy to get to on tram ,Positive
 Stunning rooms and dining area In a lovely location just off a park ,Positive
 The staff were really helpful and the hotel was in a great location ,Positive
 The only thing I love was that the bed was comfy and the building on the outside everything else I hated,Positive
 Comfy bed tasty hot chocolates,Positive
 Beautiful hotel with views of the park Transport links are very close and excellent,Positive
No Positive,Positive
 Me and my boyfriend got engaged at the hotel and the staff were absolutely fantastic ,Positive
 They gave us an upgrade of the room Beautifull sort of attic room complete white very very nice ,Positive
 Loved the lay out and design of the hotel ,Positive
 Great location lovely helpful staff very pretty and modern hotel ,Positive
 Bed extra comfy,Positive
 Large clean rooms with a nice size comfy bed All round just very clean ,Positive
 Everything Classy ,Positive
 Everything,Positive
 comfort and cleanliness,Positive
 The bedrooms were amazing and the beds were so comfy,Positive
 Great hotel with beautiful interior,Positive
 Well equipped nice room Traditinal but modern building ,Positive
 Very clean and tidy hotel Very Comfortable bed everything was great,Positive
 Comfortable big bed room swaped without issues ,Positive
 Breakfast,Positive
 Unique room design beautiful place ,Positive
 The bed was incredible ,Positive
 nice location super helpful front desk staff ,Positive
 Nothing in particular stood out,Positive
 The room was so clean and tidy the bed was amazingly comfey and so big,Positive
 The front desk where very kind and helpful ,Positive
 Huge bath with big bathtub,Positive
 great service good location for city centre good food very unusual minimalist room decor,Positive
 Easy access to trams direct into town ,Positive
 Excellent quality hotel Friendly staff great location lovely facilities Overall great hotel Would definately stay here again ,Positive
 Nothing else,Positive
No Positive,Positive
 Staff extremely helpful and knowledgeable,Positive
 Place is very nice,Positive
 The Arena was a wonderful experience The room was comfortable and beautiful I have been telling everyone about my stay ,Positive
 Nice variety of foods Good coffee,Positive
 Friendly and helpful staff,Positive
 Patio area outside was lovely Our room got upgraded ,Positive
 We loved this hotel And our beautiful hotel room ,Positive
 It s was a beautiful place amazing architecture and a room upgrade ,Positive
 The spacious room,Positive
 Very comfortable bed Building full of character ,Positive
 We stayed in a studio room The room was spacious It was clean the bed was very comfortable The staff were helpful polite and professional ,Positive
 breakfast,Positive
 Very nice and comfirtable hotel i personally like it Thank you front desk staff Cheers,Positive
 The staff were lovely and the bed was huge Very accommodating and not so far from the city centre,Positive
No Positive,Positive
 Nice room located on two floors for a fair price,Positive
 Food was ok,Positive
 location size of the room large bathroom breakfast was ok,Positive
No Positive,Positive
 The duplex room design ,Positive
 Bed was very comfy Clean room nice hotel,Positive
 staff EXCELLENTbed VERY comfortable,Positive
 Not much,Positive
 We liked the split level room,Positive
 Location and feel of the hotel,Positive
No Positive,Positive
 The bed was good Public transport close tonthe hotel ,Positive
 Comfortable bed Good television channels Nice bar and restaurant Polite staff,Positive
 relaxed athmosphere,Positive
 Management impersonal and unhelpful when we asked for help,Positive
 IT was my birthday they made it special by upgrading us to a m ch nicer duplex room,Positive
 Staff very nice and helpful Excellent food Very clean American breakfast buffet,Positive
 Bed was comfy shower was good ,Positive
 Personnel was be very good ,Positive
 The architecture the bar area the staff are kind and helpful ,Positive
 Bed was so comfortable Staff we very helpful Had a nice stay at this hotel,Positive
 Location very good Staff very helpful Breakfast Excellant,Positive
 beautiful interior,Positive
 Nice room design,Positive
 Everything was brilliant,Positive
 Excellent staff and clean comfortable room Would stay again ,Positive
 Really nice hotel and room and staff,Positive
No Positive,Positive
 Building was so nice rooms were big,Positive
 Nice rooms and modern place,Positive
 Everything was perfect From the staff to the hotel it was all brilliant Can t wait to stay again ,Positive
 Fantastic staff that could not have been more helpful friendly and professional,Positive
 The hotel building is amazing They are renovating and perhaps some of the problems will be overcome when the works finish ,Positive
 Great service stunning hotel despite being under construction Lovely restaurant and a quiet surrounding ,Positive
No Positive,Positive
 Good staff very helpful Free WIFI Nice hotel,Positive
 All very good Staff were very helpful ,Positive
 The facilities were amazing Great food and the staff were so friendly,Positive
 location and staff,Positive
No Positive,Positive
 Plain 4 stars Hotel nothing special nothing bad ,Positive
 Beautiful structure good price ,Positive
 Lovely rooms food helpful reception staff Pleasant stroll into town centre,Positive
 The room the building the little details in and around the hotel were very nice Staff was friendly ,Positive
 Location helpful staff ,Positive
 Modern feel studio type touch very comfortable room,Positive
 Room placement and spaces ,Positive
 Extremely nice rooms friendly staff close to the tram links,Positive
 nice room with bedside on a loft and the nice gesture for a free drink due to renovation of the premises ,Positive
 Staff were very helpful They even organised a little surprise on my birthday Room was great very spacious with huge bed ,Positive
 beautiful building good location comfortable bed great out door area,Positive
 The overall hotel was fine would love to return when the building work is complete,Positive
 Would have liked double beds,Positive
 the breakfast area is nice,Positive
 Friendly and helpful staff,Positive
 The staff was very friendly and helpful Loved the old charm of the architecture Rooms were clean Bar had a great courtyard,Positive
No Positive,Positive
 Very nice hotel clean and stylish and very helpful staff ,Positive
 Very nice bar and restaurant Staff is nice and helpful ,Positive
 Great atmosphere old building with modern design ,Positive
 Great facilities,Positive
 Staff at check in and check out were really nice ,Positive
 Very close to Museum and Concert hall area ,Positive
 Excellent location when arriving in car,Positive
 Great and beautiful hotel with wonderful staff ,Positive
No Positive,Positive
No Positive,Positive
 lovely hotel with well kept stylish rooms,Positive
 Lots of charm Nice rooms and the best bed ever ,Positive
 Staff were incredibly polite and willing to help at all times Hotel is in a very good location and facilities are brilliant,Positive
No Positive,Positive
 The room was beautiful and staff were extremely helpful ,Positive
 We loved our room especially the huge comfy bed ,Positive
 The room was so luxurious very comfy bed and modern decor Hotel had character ,Positive
 Lovely room taseful decor and artwork around the hotel Friendly and helpful staff ,Positive
 Breakfast service,Positive
 Staff was great good location free printer and computer,Positive
 Lovely location helpful staff The bikes available for rent were of excellent quality ,Positive
 EVERYTHING ,Positive
 Room was bright and airy and staff were most welcoming ,Positive
 The staff were so friendly and very helpful ,Positive
 The hotel is amazing beautiful old building and the rooms are very modern ,Positive
 Very comfortable beds smart bathroom good shower Lovely facilities garden an absolute delight friendly staff quiet location,Positive
No Positive,Positive
 The staff was very friendly and helpful in organizing our daytime activities Hotel located in a quiet area but very close to subway and restaurants ,Positive
 We stayed at the hotel at a friend s recommendation It has great access to public transport and plenty of shops and places to eat close by Laundrette around the corner is also a bonus for long term travellers who need to freshen things up having access to the back garden was an added bonus for lovely summer evenings Would definitely stay there again ,Positive
 Super location on Division underground line direct to Heathrow and central London Older facility but very accommodating staff Good breakfast many restaurant stores 1 2 block away Bathroom was tiny with no fan or ventilation so it got warmish Quite comfy but small rooms Beautiful garden in back Overall a great value for London Would stay here again ,Positive
 Breakfast buffet was more than satisfactory Plenty of choices for all Bed was very comfortable Bathroom shower was powerful and plenty of hot water Location could not have been better Very short walk to underground Beautiful gardens at the rear of hotel Very quiet in spite of being close to Earl s Court Rd Staff was friendly and helpful Everyone was very easy to deal with ,Positive
 There was a beautiful garden at the back of the property where guests could relax in the sunshine read order a drink etc A great location very close to Earls Court restaurants and tube Good breakfast ,Positive
 Fantastic location very clean room someone called Leanne I think on reception was helpful and kind Breakfast was lovely great choice ,Positive
 Breakfast was excellent Staff in the restaurant were very pleasant especially the lady who took our room numbers showed us to our table ,Positive
 The garden was a bonus Lovely area to have some quiet time and enjoy a drink Secure parking was also a good feature ,Positive
 Great location it s easy to find and incredibly close to the Earl s Court Underground station Clean Quiet Breakfast was a good quality and selection Nice pillows Lovely large windows in the rooms with beautiful billowing curtains Newly remodeled marble slate bathroom Mini fridge in room Desk had a mirror so it doubled as a great place to do hair and make up Beautiful garden area I didn t get to spend much time out back but it s worth buying a glass of wine and hanging out with some friends in that area ,Positive
 Location first and foremost Lovely gardens ,Positive
 Very good hotel professional people s and very well organized Unfortunately the fitness area is veeery small maybe this hotel with this kind of level can evaluate in the best future to invest something more in space for this area Sauna was not available but o k i can accept this in summer period i hope this will not hapen during winter nothing more check always the price sometimes without promotion is not acceptable for this kind of structure I will pay for this not more than 150 p more than this price became not anymore competitive with similar hotel with same level,Positive
 Clean comfy beds Beautiful gardens Excellent helpful staff ,Positive
 The staff were all so professional and friendly They really made the entire visit special and went out of their way to accommodate every inquiry or request we made The hotel itself was clean and the location to get on the Earl s Court tube was really convenient for all of our planned excursions I would totally recommend the K K Hotel George ,Positive
